age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
47,Private,249935,11th,7,Divorced,Craft-repair,Own-child,White,Male,0,0,8,United-States,<=50K
57,State-gov,399246,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,1485,40,China,<=50K
45,Private,106113,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
22,Private,106700,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,27,United-States,<=50K
41,Private,332703,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Other,Female,0,625,40,United-States,<=50K
38,Private,23892,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
57,Self-emp-inc,101338,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,<=50K
62,Unknown,54878,HS-grad,9,Widowed,Unknown,Not-in-family,White,Female,0,0,25,United-States,<=50K
22,Private,191342,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,50,Taiwan,<=50K
25,Private,174545,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,46,United-States,<=50K
65,Private,105116,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,2346,0,40,United-States,<=50K
37,Private,359131,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,48,United-States,<=50K
42,Unknown,212206,Masters,14,Married-civ-spouse,Unknown,Wife,White,Female,0,1887,48,United-States,>50K
22,Private,316509,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
28,Private,175710,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,Unknown,<=50K
51,Local-gov,47415,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1628,30,United-States,<=50K
49,Unknown,31478,7th-8th,4,Married-civ-spouse,Unknown,Husband,White,Male,0,0,99,United-States,<=50K
36,Private,290409,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
38,Self-emp-not-inc,322143,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,10,United-States,<=50K
45,Private,114032,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
46,Private,192779,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,>50K
37,State-gov,28887,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
33,Private,107248,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K
22,Private,180052,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,10,United-States,<=50K
58,State-gov,40925,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,472807,1st-4th,2,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,52,Mexico,<=50K
49,Private,54772,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,45,United-States,>50K
34,Private,684015,5th-6th,3,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,El-Salvador,<=50K
59,Self-emp-not-inc,56392,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1579,60,United-States,<=50K
35,Self-emp-not-inc,202027,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,55,United-States,>50K
59,Local-gov,93211,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,22,United-States,>50K
18,Private,225859,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,2907,0,30,United-States,<=50K
23,Private,26248,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
24,Private,216469,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1579,50,United-States,<=50K
33,Private,31481,Bachelors,13,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
42,Private,173704,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1887,50,United-States,>50K
66,Private,28367,Bachelors,13,Married-civ-spouse,Priv-house-serv,Other-relative,White,Male,0,0,99,United-States,<=50K
60,Local-gov,227332,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
37,Self-emp-not-inc,327164,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,Unknown,<=50K
58,Self-emp-inc,181974,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,99,Unknown,<=50K
26,Private,174592,Masters,14,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
63,Self-emp-not-inc,35021,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,32,China,>50K
61,Self-emp-inc,102191,Masters,14,Widowed,Exec-managerial,Unmarried,White,Female,0,0,99,United-States,<=50K
32,Private,402089,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,<=50K
37,State-gov,378916,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
66,Unknown,129476,Bachelors,13,Married-civ-spouse,Unknown,Husband,White,Male,0,0,6,United-States,<=50K
49,Federal-gov,586657,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,>50K
23,Private,38251,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
66,Private,210825,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
52,Private,443742,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
43,Private,212894,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
21,Unknown,161930,HS-grad,9,Never-married,Unknown,Own-child,Black,Female,0,1504,30,United-States,<=50K
76,Private,199949,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,20051,0,50,United-States,>50K
44,State-gov,33658,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,>50K
43,Private,55213,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1977,52,United-States,>50K
19,Private,349620,10th,6,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
65,Self-emp-not-inc,31740,Some-college,10,Widowed,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K
37,Private,148581,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K
17,Private,331552,12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
51,Unknown,521665,Some-college,10,Married-civ-spouse,Unknown,Husband,White,Male,0,0,24,United-States,<=50K
51,Private,123703,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4386,0,40,United-States,>50K
18,Private,118376,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K
29,Private,77760,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,<=50K
31,Private,130021,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
35,Private,356838,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,2829,0,55,Poland,<=50K
47,Private,340982,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,3103,0,40,Philippines,>50K
40,Self-emp-inc,57233,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
24,Private,276851,HS-grad,9,Divorced,Protective-serv,Own-child,White,Female,0,1762,40,United-States,<=50K
27,Federal-gov,46442,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Female,0,0,35,United-States,<=50K
45,Self-emp-not-inc,28497,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1485,70,United-States,>50K
30,Private,398827,HS-grad,9,Married-AF-spouse,Adm-clerical,Husband,White,Male,0,0,60,United-States,<=50K
42,Self-emp-not-inc,27821,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
31,Private,467579,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1887,40,United-States,>50K
31,Private,509364,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,Mexico,<=50K
43,Private,167265,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,84,United-States,>50K
27,Private,56658,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0,0,8,United-States,<=50K
36,Private,272090,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,El-Salvador,<=50K
20,Private,387779,11th,7,Never-married,Transport-moving,Own-child,White,Male,0,0,15,United-States,<=50K
40,Private,289309,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,48,United-States,<=50K
27,Private,376150,Some-college,10,Married-spouse-absent,Sales,Not-in-family,White,Female,0,0,25,United-States,<=50K
26,Self-emp-not-inc,284343,Assoc-acdm,12,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,108301,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,20,United-States,<=50K
65,Self-emp-not-inc,131417,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,1797,0,21,United-States,<=50K
37,Private,188774,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,40,United-States,>50K
20,Private,39478,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,70,United-States,<=50K
26,Local-gov,166295,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,55,United-States,<=50K
56,Private,290641,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
26,Self-emp-not-inc,34307,Assoc-voc,11,Never-married,Farming-fishing,Own-child,White,Male,0,0,65,United-States,<=50K
39,Private,155603,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,2205,40,United-States,<=50K
53,Private,30447,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,<=50K
45,Private,297676,Assoc-acdm,12,Widowed,Sales,Unmarried,White,Female,0,0,40,Cuba,<=50K
30,Private,377017,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,32,United-States,<=50K
35,Private,276153,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,4650,0,40,United-States,<=50K
40,Private,141537,10th,6,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,<=50K
19,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K
29,Local-gov,152461,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,42,United-States,<=50K
49,Private,50748,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,55,England,<=50K
46,Private,501671,10th,6,Divorced,Machine-op-inspct,Unmarried,Black,Male,0,0,40,United-States,<=50K
36,Private,297449,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,14084,0,40,United-States,>50K
50,Private,128814,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,25,United-States,<=50K
21,Private,203924,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,2597,0,45,United-States,<=50K
17,Private,721712,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States,<=50K
44,Private,54507,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,60374,HS-grad,9,Widowed,Craft-repair,Unmarried,White,Female,0,1594,26,United-States,<=50K
29,Private,214702,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1974,35,United-States,<=50K
41,Private,29762,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
25,Private,209230,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,6,United-States,<=50K
54,Self-emp-not-inc,123011,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,52,United-States,>50K
26,Private,291968,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K
25,Private,361493,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,3325,0,40,United-States,<=50K
29,Private,351324,Some-college,10,Never-married,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
21,Private,335570,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,30,Unknown,<=50K
66,Self-emp-inc,253741,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1825,10,United-States,>50K
63,Unknown,83043,Bachelors,13,Married-civ-spouse,Unknown,Husband,White,Male,0,2179,45,United-States,<=50K
48,State-gov,31141,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1902,40,United-States,>50K
35,Private,200117,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,1887,50,Unknown,>50K
59,Private,230039,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Female,0,625,38,United-States,<=50K
39,Private,382802,10th,6,Widowed,Machine-op-inspct,Not-in-family,Black,Male,0,1590,40,United-States,<=50K
33,Private,232356,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1672,55,United-States,<=50K
34,Private,293900,11th,7,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,0,0,55,United-States,<=50K
36,Private,285865,Assoc-acdm,12,Separated,Other-service,Unmarried,Black,Female,0,0,32,United-States,<=50K
34,Private,203034,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0,2824,50,United-States,>50K
50,Private,138358,10th,6,Separated,Adm-clerical,Not-in-family,Black,Female,0,0,47,Jamaica,<=50K
